timestamp,node,action,file_size,cid,duration,success
2025-02-07T23:13:26.188438,ipfs0,upload,4286066,QmWRVtzJNiEn1w2zNqupVbVKBxvnAh62m9N5XZW9nDw6fL,0.04902963300264673,True
2025-02-07T23:13:32.500237,ipfs5,upload,135792041,Qme97XnBhrPftPncgy9q2ZGNxMeRiorhVNPsNUty2WBbZu,0.9752554910010076,True
2025-02-07T23:13:34.967560,ipfs6,upload,50653328,QmNfEeytbuXNfHQjLstYHEfZ62PhGNwZSjeu5CLLABb1r7,0.4649330319989531,True
2025-02-07T23:13:36.868529,ipfs12,upload,95353263,QmbPg9k4VnuE2kZS3pwSLoS6FYUo7timUboVh6YZ7ZMvwF,1.6742619880023994,True
2025-02-07T23:13:38.187348,ipfs8,upload,38485433,QmcesS8e5cVCUc8ZR8YksBgogPqnEv3EggTTnkzYV1h9Yk,0.6944074610000825,True
2025-02-07T23:13:36.994249,ipfs4,download,135792041,Qme97XnBhrPftPncgy9q2ZGNxMeRiorhVNPsNUty2WBbZu,3.095432289999735,True
2025-02-07T23:13:38.082035,ipfs14,upload,319608049,QmVS2JJSEYNzzgvwrVpXKWeaYT6To7E332FsFuFqF4JQPy,4.059474962999957,True
2025-02-07T23:13:41.666779,ipfs11,upload,70904806,QmTQTaLRUDk8nDHiMTLosLwG9Sz3NPNFVUNZ8t5hYsrQvZ,1.0553607840010955,True
2025-02-07T23:13:43.314512,ipfs11,download,95353263,QmbPg9k4VnuE2kZS3pwSLoS6FYUo7timUboVh6YZ7ZMvwF,1.1290720440010773,True
2025-02-07T23:13:45.777637,ipfs2,download,4286066,QmWRVtzJNiEn1w2zNqupVbVKBxvnAh62m9N5XZW9nDw6fL,0.5776968139980454,True
2025-02-07T23:13:46.306917,ipfs1,upload,189079109,QmQXN5owApFPJ5AcUpj6c1gywnhdG1yfJhef9DNJMHNjA4,1.6807941639999626,True
2025-02-07T23:13:52.830476,ipfs15,download,38485433,QmcesS8e5cVCUc8ZR8YksBgogPqnEv3EggTTnkzYV1h9Yk,0.37930004600275424,True
2025-02-07T23:13:56.401458,ipfs0,download,50653328,QmNfEeytbuXNfHQjLstYHEfZ62PhGNwZSjeu5CLLABb1r7,0.5160847139995894,True
2025-02-07T23:13:56.875204,ipfs8,download,4286066,QmWRVtzJNiEn1w2zNqupVbVKBxvnAh62m9N5XZW9nDw6fL,0.06312303899903782,True
2025-02-07T23:13:57.354623,ipfs5,upload,34870457,QmQPew7LfhWz3TpCRWBJBHQriFY6r7W5qTNQ6NNC7WGLor,0.4154999610000232,True
2025-02-07T23:13:57.682744,ipfs6,download,95353263,QmbPg9k4VnuE2kZS3pwSLoS6FYUo7timUboVh6YZ7ZMvwF,1.2891228629996476,True
2025-02-07T23:14:01.055474,ipfs7,upload,10751414,QmaiLQ8jRXxyJ1o7ASHonjFkkimKkCmqwTPU9MwaSZYkxQ,0.23030490900055156,True
2025-02-07T23:13:58.407514,ipfs2,download,319608049,QmVS2JJSEYNzzgvwrVpXKWeaYT6To7E332FsFuFqF4JQPy,4.981591029998526,True
2025-02-07T23:14:03.608347,ipfs4,download,10751414,QmaiLQ8jRXxyJ1o7ASHonjFkkimKkCmqwTPU9MwaSZYkxQ,0.1880687799966836,True
2025-02-07T23:13:59.895716,ipfs12,download,189079109,QmQXN5owApFPJ5AcUpj6c1gywnhdG1yfJhef9DNJMHNjA4,4.897876801998791,True
2025-02-07T23:14:05.512618,ipfs7,download,4286066,QmWRVtzJNiEn1w2zNqupVbVKBxvnAh62m9N5XZW9nDw6fL,0.28981336200013175,True
2025-02-07T23:14:01.715337,ipfs12,download,135792041,Qme97XnBhrPftPncgy9q2ZGNxMeRiorhVNPsNUty2WBbZu,4.274504300003173,True
2025-02-07T23:14:04.728114,ipfs5,upload,45921294,QmX4tFpb5qVvA6s5UrZLZYyWU1NE51cBFMnEERabdEvNLJ,1.3716765649987792,True
2025-02-07T23:14:03.908248,ipfs9,download,95353263,QmbPg9k4VnuE2kZS3pwSLoS6FYUo7timUboVh6YZ7ZMvwF,2.7361540959973354,True
2025-02-07T23:14:06.730509,ipfs3,download,95353263,QmbPg9k4VnuE2kZS3pwSLoS6FYUo7timUboVh6YZ7ZMvwF,6.270485991000896,True
2025-02-07T23:14:10.252391,ipfs9,download,38485433,QmcesS8e5cVCUc8ZR8YksBgogPqnEv3EggTTnkzYV1h9Yk,5.228121701002237,True
2025-02-07T23:14:09.806102,ipfs8,download,45921294,QmX4tFpb5qVvA6s5UrZLZYyWU1NE51cBFMnEERabdEvNLJ,5.9514259490024415,True
2025-02-07T23:14:13.539450,ipfs11,upload,23596598,QmVvL9mjSgsHzf1RSDqePgeTxztzVbU3nwjwBP7UK5n5nn,2.8278446219992475,True
2025-02-07T23:14:13.585403,ipfs3,download,10751414,QmaiLQ8jRXxyJ1o7ASHonjFkkimKkCmqwTPU9MwaSZYkxQ,2.84165700900121,True
2025-02-07T23:14:15.965238,ipfs15,download,10751414,QmaiLQ8jRXxyJ1o7ASHonjFkkimKkCmqwTPU9MwaSZYkxQ,2.636774175996834,True
2025-02-07T23:14:11.697061,ipfs7,download,38485433,QmcesS8e5cVCUc8ZR8YksBgogPqnEv3EggTTnkzYV1h9Yk,13.096337933999166,True
2025-02-07T23:14:15.458216,ipfs11,download,45921294,QmX4tFpb5qVvA6s5UrZLZYyWU1NE51cBFMnEERabdEvNLJ,12.078213193999545,True
2025-02-07T23:14:15.829970,ipfs7,download,95353263,QmbPg9k4VnuE2kZS3pwSLoS6FYUo7timUboVh6YZ7ZMvwF,15.004275847000827,True
2025-02-07T23:14:32.685180,ipfs2,download,23596598,QmVvL9mjSgsHzf1RSDqePgeTxztzVbU3nwjwBP7UK5n5nn,1.098664529999951,True
2025-02-07T23:14:28.653775,ipfs15,download,135792041,Qme97XnBhrPftPncgy9q2ZGNxMeRiorhVNPsNUty2WBbZu,5.866360395000811,True
2025-02-07T23:14:22.658360,ipfs12,upload,356341368,QmTDZuwB1NMvtfdi9esV7ZuAazgZUQ6DYQnH56Zoiw4AWC,12.161342024999612,True
2025-02-07T23:14:35.195420,ipfs12,download,23596598,QmVvL9mjSgsHzf1RSDqePgeTxztzVbU3nwjwBP7UK5n5nn,0.5646218209985818,True
2025-02-07T23:14:31.958293,ipfs0,download,95353263,QmbPg9k4VnuE2kZS3pwSLoS6FYUo7timUboVh6YZ7ZMvwF,3.889391454998986,True
2025-02-07T23:14:32.890231,ipfs11,download,189079109,QmQXN5owApFPJ5AcUpj6c1gywnhdG1yfJhef9DNJMHNjA4,6.282963390000077,True
2025-02-07T23:14:36.967014,ipfs3,download,135792041,Qme97XnBhrPftPncgy9q2ZGNxMeRiorhVNPsNUty2WBbZu,3.368490683998971,True
2025-02-07T23:14:36.965875,ipfs0,upload,221578313,QmdX4ciyyp51YRWpjRHBKLo9HBtp4QtjxFDNpgwaWVMkbN,3.9092548480002733,True
2025-02-07T23:14:38.335869,ipfs6,upload,134686710,QmaBTZbHNzd4szZQLSq4UKC33723YVz4aKR3YRSsuktNQn,2.6905566720015486,True
2025-02-07T23:14:45.625357,ipfs11,download,95353263,QmbPg9k4VnuE2kZS3pwSLoS6FYUo7timUboVh6YZ7ZMvwF,0.6107298780007113,True
2025-02-07T23:14:38.338068,ipfs9,download,319608049,QmVS2JJSEYNzzgvwrVpXKWeaYT6To7E332FsFuFqF4JQPy,7.975166010000976,True
2025-02-07T23:14:43.702175,ipfs6,download,135792041,Qme97XnBhrPftPncgy9q2ZGNxMeRiorhVNPsNUty2WBbZu,4.111534438001399,True
2025-02-07T23:14:47.841017,ipfs13,download,10751414,QmaiLQ8jRXxyJ1o7ASHonjFkkimKkCmqwTPU9MwaSZYkxQ,0.2964602569991257,True
2025-02-07T23:14:43.700896,ipfs10,upload,275350317,Qmf7BBVD9hpP5PWBJh39Tv3jZM31Hdg6Wrv4zGiZNuewT1,6.470822919000057,True
2025-02-07T23:14:47.050521,ipfs15,upload,218502292,QmQ41r7jzSRqK2xmFcZKXLuv1XPkjzVJHQGsVhjJkdVRwP,5.072367654000118,True
2025-02-07T23:14:49.831860,ipfs11,download,134686710,QmaBTZbHNzd4szZQLSq4UKC33723YVz4aKR3YRSsuktNQn,3.7686358880018815,True
2025-02-07T23:14:59.858559,ipfs3,upload,27715353,QmQX7wwR7YbKuBAgh8JYnuKbLw1EUX2meHdDxEsjRfY5Gm,6.529052805999527,True
